SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43667 child=39967 window=2015 surface=147787958
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=malloc
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204030-surface-ca-malloc-dc42a1c31b/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE RESULT mode=ca uploads=240 pixels=1280x720 elapsed=7.997 rate=30.012 work_mean_ms=33.204 work_p95_ms=31.429 work_max_ms=778.349 slowest_frame=0 copy_mean_ms=11.327 render_mean_ms=18.006 flush_mean_ms=3.862 completed_at=8.320 deadline=8.500 (flushes, not scanout)
SURFACE FRAME id=0 allocation_ms=0.018 memcpy_ms=12.220 image_ms=0.038 transaction_ms=0.329 render_ms=756.314 flush_ms=9.415 total_ms=778.349
SURFACE FRAME id=1 allocation_ms=0.020 memcpy_ms=12.462 image_ms=0.011 transaction_ms=0.251 render_ms=17.258 flush_ms=5.242 total_ms=35.260
SURFACE FRAME id=2 allocation_ms=0.020 memcpy_ms=12.681 image_ms=0.011 transaction_ms=0.077 render_ms=13.500 flush_ms=4.276 total_ms=30.578
SURFACE FRAME id=3 allocation_ms=0.023 memcpy_ms=11.913 image_ms=0.011 transaction_ms=0.077 render_ms=17.414 flush_ms=4.184 total_ms=33.633
SURFACE FRAME id=4 allocation_ms=0.020 memcpy_ms=11.423 image_ms=0.012 transaction_ms=0.077 render_ms=15.329 flush_ms=3.927 total_ms=30.802
SURFACE FRAME id=5 allocation_ms=0.019 memcpy_ms=11.210 image_ms=0.013 transaction_ms=0.078 render_ms=15.697 flush_ms=3.896 total_ms=30.926
SURFACE FRAME id=6 allocation_ms=0.019 memcpy_ms=10.991 image_ms=0.014 transaction_ms=0.078 render_ms=14.610 flush_ms=3.892 total_ms=29.617
SURFACE FRAME id=7 allocation_ms=0.018 memcpy_ms=10.911 image_ms=0.013 transaction_ms=0.079 render_ms=14.528 flush_ms=3.997 total_ms=29.559
SURFACE FRAME id=8 allocation_ms=0.018 memcpy_ms=10.939 image_ms=0.013 transaction_ms=0.079 render_ms=14.459 flush_ms=5.526 total_ms=31.046
SURFACE FRAME id=9 allocation_ms=0.025 memcpy_ms=13.308 image_ms=0.015 transaction_ms=0.090 render_ms=19.837 flush_ms=3.977 total_ms=37.265
SURFACE FRAME id=10 allocation_ms=0.020 memcpy_ms=11.228 image_ms=0.014 transaction_ms=0.080 render_ms=15.975 flush_ms=4.099 total_ms=31.429
SURFACE FRAME id=11 allocation_ms=0.018 memcpy_ms=12.021 image_ms=0.011 transaction_ms=0.075 render_ms=14.946 flush_ms=4.229 total_ms=31.314
SURFACE FRAME id=12 allocation_ms=0.019 memcpy_ms=11.476 image_ms=0.012 transaction_ms=0.076 render_ms=15.583 flush_ms=3.938 total_ms=31.117
