SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43671 child=39971 window=2016 surface=148740311
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=pool
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204111-surface-ca-pool-94f68ad825/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE RESULT mode=ca uploads=240 pixels=1280x720 elapsed=7.988 rate=30.047 work_mean_ms=24.064 work_p95_ms=22.420 work_max_ms=775.511 slowest_frame=0 copy_mean_ms=2.406 render_mean_ms=17.760 flush_mean_ms=3.889 completed_at=8.328 deadline=8.500 (flushes, not scanout)
SURFACE FRAME id=0 allocation_ms=0.025 memcpy_ms=11.918 image_ms=0.036 transaction_ms=0.327 render_ms=753.780 flush_ms=9.406 total_ms=775.511
SURFACE FRAME id=1 allocation_ms=0.021 memcpy_ms=12.151 image_ms=0.013 transaction_ms=0.167 render_ms=14.727 flush_ms=4.802 total_ms=31.897
SURFACE FRAME id=2 allocation_ms=0.001 memcpy_ms=2.111 image_ms=0.010 transaction_ms=0.076 render_ms=14.822 flush_ms=3.856 total_ms=20.888
SURFACE FRAME id=3 allocation_ms=0.023 memcpy_ms=12.401 image_ms=0.012 transaction_ms=0.080 render_ms=14.256 flush_ms=3.937 total_ms=30.722
SURFACE FRAME id=4 allocation_ms=0.001 memcpy_ms=2.128 image_ms=0.011 transaction_ms=0.215 render_ms=14.887 flush_ms=3.967 total_ms=21.221
SURFACE FRAME id=5 allocation_ms=0.000 memcpy_ms=2.115 image_ms=0.011 transaction_ms=0.075 render_ms=14.331 flush_ms=3.780 total_ms=20.325
SURFACE FRAME id=6 allocation_ms=0.001 memcpy_ms=2.214 image_ms=0.012 transaction_ms=0.076 render_ms=14.929 flush_ms=4.110 total_ms=21.362
SURFACE FRAME id=7 allocation_ms=0.001 memcpy_ms=2.590 image_ms=0.011 transaction_ms=0.076 render_ms=14.754 flush_ms=3.952 total_ms=21.406
SURFACE FRAME id=8 allocation_ms=0.001 memcpy_ms=2.253 image_ms=0.011 transaction_ms=0.074 render_ms=14.466 flush_ms=4.184 total_ms=21.003
SURFACE FRAME id=9 allocation_ms=0.001 memcpy_ms=2.087 image_ms=0.010 transaction_ms=0.086 render_ms=14.820 flush_ms=3.810 total_ms=20.827
SURFACE FRAME id=10 allocation_ms=0.001 memcpy_ms=3.257 image_ms=0.022 transaction_ms=0.168 render_ms=14.573 flush_ms=4.607 total_ms=22.640
SURFACE FRAME id=11 allocation_ms=0.001 memcpy_ms=2.083 image_ms=0.009 transaction_ms=0.074 render_ms=14.359 flush_ms=4.027 total_ms=20.567
SURFACE FRAME id=12 allocation_ms=0.001 memcpy_ms=2.086 image_ms=0.011 transaction_ms=0.075 render_ms=14.763 flush_ms=5.292 total_ms=22.241
SURFACE FRAME id=13 allocation_ms=0.001 memcpy_ms=2.070 image_ms=0.010 transaction_ms=0.076 render_ms=14.130 flush_ms=3.835 total_ms=20.134
SURFACE FRAME id=14 allocation_ms=0.001 memcpy_ms=3.408 image_ms=0.012 transaction_ms=0.074 render_ms=15.443 flush_ms=4.051 total_ms=23.001
SURFACE FRAME id=15 allocation_ms=0.000 memcpy_ms=2.351 image_ms=0.011 transaction_ms=0.074 render_ms=13.406 flush_ms=3.935 total_ms=19.790
SURFACE FRAME id=16 allocation_ms=0.001 memcpy_ms=2.104 image_ms=0.011 transaction_ms=0.075 render_ms=14.386 flush_ms=3.606 total_ms=20.195
SURFACE FRAME id=17 allocation_ms=0.000 memcpy_ms=2.094 image_ms=0.012 transaction_ms=0.073 render_ms=14.254 flush_ms=3.775 total_ms=20.220
SURFACE FRAME id=18 allocation_ms=0.000 memcpy_ms=3.387 image_ms=0.011 transaction_ms=0.075 render_ms=13.634 flush_ms=3.715 total_ms=20.836
